Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s),DateMonthyear
Like a Prayer,Madonna,"March 3, 1989","Dance-pop, pop rock, gospel",5:41,"Sire, Warner Bros.",,"Madonna, Patrick Leonard",Madonna,Patrick Leonard,03 03 1989
Like a Virgin,Madonna,"October 31, 1984",Dance-pop,3:38,"Sire, Warner Bros.",,Nile Rodgers,Billy Steinberg,Tom Kelly,31 10 1984
Like Crazy,Jimin,"March 24, 2023",Synth-pop,3:32,Big Hit,"Pdogg, Blvsh, Chris James, Ghstloop, Jimin, RM, Evan","Pdogg, Ghstloop",,,24 03 2023
Like That,"Future, Metro Boomin, Kendrick Lamar","March 26, 2024","Trap, hardcore hip hop",4:27,"Wilburn Holding, Boominati, Epic, Republic","Nayvadius Wilburn, Leland Wayne, Kendrick Duckworth, Rodney Oliver, Joe Cooley, Kobe Hood, Lorenzo Patterson",Metro Boomin,,,26 03 2024
Listen to What the Man Said,Wings,16 May 1975,"Soft rock, pop rock, disco",3:57,Capitol,"Paul McCartney, Linda McCartney",Paul McCartney,,,16 May 1975
Listen to Your Heart,Roxette,27 September 1988,Alternative rock,5:28,"Parlophone, EMI","Per Gessle, Mats Persson",Clarence Öfwerman,,,27 September 1988
Little Star,The Elegants,1958,"Doo-wop, pop",2:42,Apt,"Vito Picone, Arthur Venosa",,,,1958
Live to Tell,Madonna,"March 26, 1986",Pop,5:51,"Sire, Warner Bros.","Madonna, Patrick Leonard","Madonna, Patrick Leonard",,,26 03 1986
Live Your Life,"T.I., Rihanna","September 8, 2008","Hip hop, R&B, pop",5:38,"Grand Hustle, Atlantic","Dan Bălan, Clifford Harris, Makeba Riddick, Justin Smith","Just Blaze, Canei Finch",,,08 09 2008
Livin' la Vida Loca,Ricky Martin,"March 27, 1999","Latin pop, dance",4:03,Columbia,"Draco Rosa, Desmond Child",Desmond Child,,,27 03 1999
Livin' on a Prayer,Bon Jovi,October 1986,"Glam metal, power pop",4:11,Mercury,"Jon Bon Jovi, Richie Sambora, Desmond Child",Bruce Fairbairn,,,October 1986
Locked Out of Heaven,Bruno Mars,"October 1, 2012","Reggae rock, pop rock",3:53,Atlantic,"Bruno Mars, Philip Lawrence, Ari Levine","The Smeezingtons, Mark Ronson, Jeff Bhasker, Emile Haynie",,,01 10 2012
Lollipop,Lil Wayne,"March 13, 2008","Dirty rap, electropop, trap",5:05,"Cash Money, Universal Motown","Dwayne Carter, Stephen Garrett, Darius Harrison, James Scheffer",Jim Jonsin,,,13 03 2008
London Bridge,Fergie,"July 18, 2006",Pop rap,4:01,"A&M, Interscope, will.i.am","Stacy Ferguson, Jamal Jones, Sean Garrett, Mike Hartnett",Polow da Don,,,18 07 2006
Lonely Boy,Paul Anka,"May 11, 1959",Pop,2:31,ABC-Paramount,Paul Anka,Don Costa,,,11 05 1959
Looks Like We Made It,Barry Manilow,"April 20, 1977",Soft rock,3:33,Arista,"Richard Kerr, Will Jennings",Ron Dante,,,20 04 1977
Look Away,Chicago,"September 9, 1988",Rock,4:02,"Full Moon,  Reprise",Diane Warren,Ron Nevison,,,09 09 1988
Look What You Made Me Do,Taylor Swift,"August 24, 2017","Electropop, dance-pop, progressive pop, synth-punk",3:31,Big Machine,"Taylor Swift, Jack Antonoff, Fred Fairbrass, Richard Fairbrass, Rob Manzoli","Taylor Swift, Jack Antonoff",,,24 08 2017
Lose Control,Teddy Swims,"June 23, 2023","Soul, rock",3:30,Warner,"Jaten Dimsdale, Joshua Coleman, Julian Bunetta, Marco Rodriguez-Diaz Jr, John Sudduth","Ammo, Julian Bunetta",,,23 06 2023
Lose Yourself,Eminem,"October 28, 2002","Hip hop, rap rock, hardcore hip hop",5:20,"Shady, Interscope",,"Eminem, Jeff Bass, Luis Resto",Marshall Mathers,"Marshall Mathers, Jeff Bass, Luis Resto",28 10 2002
Lose You to Love Me,Selena Gomez,"October 23, 2019",Pop,3:26,Interscope,"Selena Gomez, Julia Michaels, Justin Tranter, Mattias Larsson, Robin Fredriksson","Mattman & Robin, , , Finneas",,,23 10 2019
Lost in Emotion,Lisa Lisa and Cult Jam,July 1987,"Freestyle, dance-pop",5:07,Columbia,"Curt Bedeau, Gerry Charles, Hugh L Clarke, Brian George, Lucien George, Paul George",Full Force,,,July 1987
Lost in Your Eyes,Debbie Gibson,"January 6, 1989",Pop,3:34,Atlantic,Deborah Gibson,Fred Zarr,,,06 01 1989
Love Bites,Def Leppard,4 July 1988,Glam metal,5:46,Mercury,"Robert John, Mutt, Lange, Phil Collen, Steve Clark, Joe Elliott, Rick Savage","Robert John ""Mutt"" Lange",,,4 July 1988
Love Child,Diana Ross & the Supremes,"September 30, 1968","Psychedelic soul, psychedelic pop",2:54,"Motown, M 1135","R, Dean Taylor, Frank Wilson, Pam Sawyer, Deke Richards","The Clan, (R. Dean Taylor, Frank Wilson, Pam Sawyer, Deke Richards) and, Henry Cosby",,,30 09 1968
Love Hangover,Diana Ross,"March 16, 1976","Disco, pop",7:483,"Motown, M 1392","Marilyn McLeod, Pamela Sawyer",Hal Davis,,,16 03 1976
Love in This Club,"Usher, Young Jeezy","February 22, 2008","R&B, hiphop, pop",4:19,LaFace,"Usher Raymond, Jamal Jones, Jay Jenkins, Lamar Taylor, Ryon Lovett, Keith Thomas, Darnell Dalton, Keri Hilson",Polow da Don,,,22 02 2008
Love Is Here and Now You're Gone,the Supremes,"January 11, 1967","Pop, R&B",2:45,"Motown, –, M 1103",Holland–Dozier–Holland,"Brian Holland, Lamont Dozier",,,11 01 1967
Love Machine,The Miracles,October 1975,Disco,2:55,"Tamla, (T 54262)","William Griffin, Warren Moore",Freddie Perren,,,October 1975
Love Me Do,the Beatles,5 October 1962,"Merseybeat, pop, R&B, rock and roll",2:22,"Parlophone, (UK), Tollie, (US)",Lennon–McCartney,George Martin,,,5 October 1962
Love Rollercoaster,Ohio Players,"November 9, 1975","Funk, disco",2:52,Mercury,"James Williams, Clarence Satchell, Leroy Bonner, Marshall Jones, Ralph Middlebrooks, Marvin Pierce, William Beck",Ohio Players,,,09 11 1975
Love Somebody,Morgan Wallen,"October 18, 2024","Country, soft rock",3:24,"Big Loud, Republic, Mercury","Morgan Wallen, John Byron, Jacob Kasher Hindlin, Ryan Vojtesak, Ashley Gorley, Elof Loelv, Martina Sorbara, Nicholas Gale, Shaun Frank, Steve Francis Richard Mastroianni, Yaakov Gruzman","Joey Moi, Charlie Handsome",,,18 10 2024
Love's Theme,The Love Unlimited Orchestra,November 1973,"Philly soul, proto-disco",3:30,"20th Century, /, Pye International",Barry White,Barry White,,Barry White,November 1973
Love Takes Time,Mariah Carey,"August 22, 1990",Pop,3:49,Columbia,"Mariah Carey, Ben Margulies",Walter Afanasieff,,,22 08 1990
Love Theme fromRomeo and Juliet,Henry Mancini,May 1969,"Pop, easy listening",2:29,RCA Victor,Nino Rota,Joe Reisman,,,May 1969
Love the Way You Lie,"Eminem, Rihanna","June 18, 2010","Hip hop, pop rap",4:23,"Shady, Aftermath, Interscope","Marshall Mathers, Holly Hafermann, Alexander Grant","Alex da Kid, Makeba Riddick",,,18 06 2010
Love Train,the O'Jays,"December 20, 1972","Proto-disco, pop",6:15,Philadelphia International,"Kenneth Gamble, Leon Huff","Kenny Gamble, Leon Huff",,,20 12 1972
Love Will Keep Us Together,Neil Sedaka,1973,Pop,,MGM,,"Neil Sedaka, , 10cc",,,1973
Love Will Lead You Back,Taylor Dayne,"January 12, 1990",Pop,4:38,Arista,Diane Warren,Ric Wake,,,12 01 1990
Love Will Never Do,Janet Jackson,"October 2, 1990","Dance-pop, new jack swing",5:50,A&M,Jimmy Jam and Terry Lewis,"Jimmy Jam and Terry Lewis, Janet Jackson",,,02 10 1990
Love Yourself,Justin Bieber,"December 7, 2015","Pop, folk, blue-eyed soul",3:53,Def Jam,"Justin Bieber, Benjamin Levin, Ed Sheeran",Benny Blanco,,,07 12 2015
Love You Inside Out,Bee Gees,April 1979,"Funk, disco, lounge",4:123,RSO,"Barry, Robin, Maurice Gibb","Bee Gees, , Albhy Galuten, , Karl Richardson",,,April 1979
Lovin on Me,Jack Harlow,"November 10, 2023",Pop rap,2:18,"Generation Now, Atlantic","Jackman Harlow, Ozan Yildirim, Sean Momberger, Nik Frascona, Nickie Jon Pabón, Delbert M Greer, Reginald Nelton","Oz, Momberger, Nik D",,,10 11 2023
Lovin' You,Minnie Riperton,"November 29, 1974","Soul, pop ballad",3:20,Epic,"Minnie Riperton, Richard Rudolph","Stevie Wonder, Scorbu Productions",,,29 11 1974
Low,"Flo Rida, T-Pain","October 9, 2007",Crunk,3:50,"Atlantic, Poe Boy","Tramar Dillard, Faheem Najm, Montay Humphrey","DJ Montay, T-Pain",,,09 10 2007
Lucy in the Sky with Diamonds,the Beatles,26 May 1967,"Psychedelic pop, acid rock",3:28,Parlophone,Lennon–McCartney,George Martin,,,26 May 1967
L'amour est bleu,Vicky Leandros,1967,,2:59,,,,Pierre Cour,André Popp,1967
Macarena,Los del Río,1993,"Flamenco, pop, dance-pop",4:10,RCA,"Rafael Ruiz Perdigones, Antonio Romero Monge",Los del Río,,,1993
MacArthur Park,Richard Harris,April 1968,Pop,7:21,Dunhill,Jimmy Webb,Jimmy Webb,,,April 1968
Mack the Knife,,,Moritat,,,,,,,
Maggie May,Rod Stewart,July 1971,"Folk rock, soft rock",5:50,Mercury,"Rod Stewart, Martin Quittenton",Rod Stewart,,,July 1971
Magic,Olivia Newton-John,May 1980,"Pop, disco, soft rock",4:31,"MCA, (US), Jet, (UK)",John Farrar,John Farrar,,,May 1980
Makes Me Wonder,Maroon 5,"March 27, 2007","Alternative dance, dance-rock, pop rock, funk",3:31,A&M Octone,"Adam Levine, Jesse Carmichael, Mickey Madden","Mark Endert, Maroon 5",,,27 03 2007
Make It with You,Bread,April 1970,"Pop, soft rock, easy listening",3:18,Elektra,David Gates,David Gates,,,April 1970
Mama Told Me Not to Come,Eric Burdon and the Animals,March 1967,Roots rock,2:15,MGM,Randy Newman,Tom Wilson,,,March 1967
Maneater,Hall & Oates,"September 28, 1982","Synth-pop, new wave, R&B, blue-eyed soul, soft rock",4:313,RCA,"Sara Allen, Daryl Hall, John Oates","Daryl Hall, John Oates",,,28 09 1982
Maniac,Michael Sembello,May 1983,"Synth-pop, dance-pop",4:04,"Warner Bros., Casablanca","Dennis Matkosky, Michael Sembello","Phil Ramone, Michael Sembello",,,May 1983
Man in the Mirror,Michael Jackson,January 1988,"Pop, gospel",5:19,Epic,"Siedah Garrett, Glen Ballard","Quincy Jones, Michael Jackson (, co., )",,,January 1988
Maria Maria,"Santana, the Product G&B","September 14, 1999",Latin hip hop,4:23,Arista,"Wyclef Jean, Jerry, Wonda, Duplessis, Carlos Santana, Karl Perazzo, Raul Rekow","Wyclef Jean, Jerry ""Wonda"" Duplessis",,,14 09 1999
Me and Bobby McGee,Janis Joplin,"January 12, 1971","Blues rock, country rock",4:09,Columbia,"Kris Kristofferson, Fred Foster",Paul A. Rothchild,,,12 01 1971
Me and Mrs. Jones,Billy Paul,13 September 1972,Philadelphia soul,4:45,Philadelphia International,"Kenny Gamble, Leon Huff, Cary Gilbert","Kenny Gamble, Leon Huff",,,13 September 1972
Miami ViceTheme,Jan Hammer,August 1985,Electronic rock,2:26,MCA,Jan Hammer,Jan Hammer,,,August 1985
"Michael, Row the Boat Ashore",The Highwaymen,September 1960,Folk,2:57,United Artists,"Tony Saletan, traditional",Lou Adler,,,September 1960
Mickey,Toni Basil,"January 3, 1982","New wave, bubblegum pop, glam rock",4:12,"Chrysalis, (US), Radialchoice,  Virgin, (UK, Canada)","Mike Chapman, Nicky Chinn","Greg Mathieson, , Trevor Veitch",,,03 01 1982
Midnight Train to Georgia,Gladys Knight & the Pips,August 1973,"Soul, country soul, R&B, soft rock",4:38,Buddah,Jim Weatherly,"Tony Camillo, &, Gladys Knight & the Pips, Engineer/Mixer, Ed Stasium",,,August 1973
Missing You,John Waite,June 1984,"Soft rock, white soul",3:56,EMI America,"John Waite, Mark Leonard, Charles Sandford","John Waite, David Thoener, Gary Gersh",,,June 1984
Miss You Much,Janet Jackson,"August 21, 1989","Dance-pop, new jack swing",4:12,A&M,"James Harris III, Terry Lewis","Jimmy Jam and Terry Lewis, Janet Jackson",,,21 08 1989
Miss You,the Rolling Stones,10 May 1978,"Disco, soul, dance-rock",4:48,Rolling Stones,Jagger–Richards,The Glimmer Twins,,,10 May 1978
MMMBop,Hanson,"April 15, 1997","Pop rock, teen pop",4:28,Mercury,"Isaac Hanson, Taylor Hanson, Zac Hanson","Dust Brothers, Stephen Lironi",,,15 04 1997
"Monday, Monday",the Mamas & the Papas,March 1966,"Pop, folk rock",3:25,Dunhill,John Phillips,Lou Adler,,,March 1966
Money for Nothing,Dire Straits,28 June 1985,Pop rock,8:22,Vertigo,"Mark Knopfler, Sting","Neil Dorfsman, Mark Knopfler",,,28 June 1985
Money Maker,"Ludacris, Pharrell","July 17, 2006",Dirty rap,,"DTP,  Def Jam","Christopher Bridges, Pharrell Williams",The Neptunes,,,17 07 2006
Monkey,George Michael,4 July 1988,"Dance-rock, synth-funk",5:02,Columbia,George Michael,"George Michael, Jimmy Jam and Terry Lewis",,,4 July 1988
Monster Mash,"Bobby ""Boris"" Pickett","August 25, 1962","Novelty, pop, Halloween, rock and roll",3:14,"Garpax, (US), London, (UK)","Bobby Pickett, Lenny Capizzi",Gary S. Paxton,,,25 08 1962
Montero,Lil Nas X,"March 26, 2021","Hip hop, electropop",2:17,Columbia,"Montero Hill, Denzel Baptiste, David Biral, Omer Fedi, Rosario Lenzo","Take a Daytrip, Omer Fedi, Roy Lenzo",,,26 03 2021
Mony Mony,Tommy James and the Shondells,March 1968,"Garage rock, rock and roll, R&B",2:45,Roulette,"Tommy James, Bo Gentry, Ritchie Cordell, Bobby Bloom","Bo Gentry, Ritchie Cordell",,,March 1968
Moody River,Pat Boone,May 1961,Country pop,2:41,Dot,"Gary D, Bruce",Randy Wood,,,May 1961
Mood,"24kGoldn, Iann Dior","July 24, 2020","Pop rap, rap rock",2:20,"Records, Columbia","Golden Von Jones, Michael Olmo, Keegan Bach, Omer Fedi, Blake Slatkin","KBeaZy, Fedi, Slatkin",,,24 07 2020
More Than Words,Extreme,"March 12, 1991","Glam metal, soft rock, acoustic rock",5:33,A&M,"Gary Cherone, Nuno Bettencourt",Michael Wagener,,,12 03 1991
Mother-in-Law,Ernie K-Doe,1961,New Orleans R&B,2:25,Minit,Allen Toussaint,Allen Toussaint,,,1961
Moves like Jagger,"Maroon 5, Christina Aguilera","June 21, 2011","Nu-disco, electropop, dance-pop",3:21,A&M Octone,"Adam Levine, Benny Blanco, Ammar Malik, Shellback","Shellback, Benny Blanco",,,21 06 2011
Mo Money Mo Problems,"The Notorious B.I.G., Puff Daddy, Mase","July 15, 1997",Hip hop,4:17,"Bad Boy, Arista","Christopher Wallace, Mason Betha, Nile Rodgers, Bernard Edwards","Stevie J, Sean ""Puffy"" Combs",,,15 07 1997
"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,April 1965,"Beat, pop, music hall",2:45,MGM,Trevor Peacock,Mickie Most,,,April 1965
Mrs. Robinson,Simon & Garfunkel,"April 5, 1968",Folk rock,4:02,Columbia,Paul Simon,"Paul Simon, Art Garfunkel, Roy Halee",,,05 04 1968
Mr. Blue,the Fleetwoods,1959,Pop,2:26,"Dolton, 5",DeWayne Blackwell,Kearney Barton,,,1959
Mr. Custer,Larry Verne,1960,Novelty,3:04,Era,"Al De Lory, Fred Darian, Joseph Van Winkle",,,,1960
Mr. Lonely,Bobby Vinton,16 October 1964,Pop,2:40,Epic,"Bobby Vinton, Gene Allan","Bob Morgan, Arranged and conducted by, Robert Mersey",,,16 October 1964
Mr. Tambourine Man,Bob Dylan,"March 22, 1965",Folk,5:32,Columbia,Bob Dylan,Tom Wilson,,,22 03 1965
Ms. Jackson,Outkast,"October 24, 2000","Hip hop, R&B",4:30,"LaFace, Arista","André Benjamin, Antwan Patton, David Sheats",Earthtone III,,,24 10 2000
Music,Madonna,"August 1, 2000","Dance-pop, electro-funk, electropop, disco",3:44,"Maverick, Warner Bros.","Madonna, Mirwais Ahmadzaï","Madonna, Mirwais Ahmadzaï",,,01 08 2000
My All,Mariah Carey,"April 21, 1998","Latin pop, R&B",3:51,Columbia,,"Mariah Carey, Walter Afanasieff",Mariah Carey,"Mariah Carey, Walter Afanasieff",21 04 1998
My Boo,"Usher, Alicia Keys","August 29, 2004",R&B,3:42,LaFace,"Usher Raymond IV, Alicia Keys, Jermaine Dupri, Adonis Shropshire, Manuel Seal","Jermaine Dupri, No I.D., (uncredited)",,,29 08 2004
My Boyfriend's Back,the Angels,July 1963,Pop,2:14,Smash,"Bob Feldman, Jerry Goldstein, Richard Gottehrer","Feldman, Goldstein and Gottehrer",,,July 1963
My Ding-a-Ling,Chuck Berry,July 1972,"Pop rock, novelty",4:18,"Chess, 2131",Dave Bartholomew,Esmond Edwards,,,July 1972
My Eyes Adored You,Frankie Valli,October 1974,"Soul, soft rock",3:32,Private Stock,"Bob Crewe, Kenny Nolan",Bob Crewe,,,October 1974
My Girl,the Temptations,"December 21, 1964","Soul, R&B, pop",2:45,Gordy,"Smokey Robinson, Ronald White","Robinson, White",,,21 12 1964
My Guy,Mary Wells,"March 13, 1964",R&B,2:54,Motown,Smokey Robinson,Smokey Robinson,,,13 03 1964
My Heart Has a Mind of Its Own,Connie Francis,1960,Country,2:30,MGM,"Jack Keller, Howard Greenfield",,,,1960
My Heart Will Go On,Celine Dion,"November 24, 1997",Pop,4:40,"Columbia, Epic",,"Walter Afanasieff, James Horner, Simon Franglen",Will Jennings,James Horner,24 11 1997
My Life Would Suck Without You,Kelly Clarkson,"January 13, 2009","Pop, power pop, pop rock",3:31,RCA,"Max Martin, Lukasz Gottwald, Claude Kelly, Kelly Clarkson, uncredited","Martin, Dr. Luke",,,13 01 2009
My Love,"Justin Timberlake, T.I.","October 24, 2006","Electro, -, R&B, hip hop, techno",4:42,Jive,"Justin Timberlake, Tim Mosley, Nate, Danja, Hills, Clifford Joseph Harris","Timbaland, Justin Timberlake, Nate ""Danja"" Hills",,,24 10 2006
My Love,Paul McCartney and Wings,23 March 1973,"Soft rock, lounge",4:07,Apple,"Paul McCartney, Linda McCartney",Paul McCartney,,,23 March 1973
My Love,Petula Clark,December 1965,Pop,2:43,"Pye, 7N 17038, (UK), Warner Bros., 5684, (US), Vogue, STU 42234, (DEN)",Tony Hatch,Tony Hatch,,,December 1965
My Prerogative,Bobby Brown,"October 11, 1988",New jack swing,4:51,MCA,"Bobby Brown, Teddy Riley, Gene Griffin",Teddy Riley,,,11 10 1988
My Sharona,the Knack,"June 18, 1979","Power pop, new wave, garage rock",3:58,Capitol,"Doug Fieger, Berton Averre",Mike Chapman,,,18 06 1979
My Sweet Lord,George Harrison,23 November 1970,"Folk rock, gospel, pop",4:39,Apple,George Harrison,"George Harrison, , Phil Spector",,,23 November 1970
My Universe,"Coldplay, BTS",24 September 2021,"Synth-pop, pop rock",3:46,"Parlophone, Atlantic","Guy Berryman, Jonny Buckland, Will Champion, Chris Martin, Max Martin, Oscar Holter, Bill Rahko, RM, Suga, J-Hope","Max Martin, Oscar Holter, Bill Rahko",,,24 September 2021
Na Na Hey Hey Kiss Him Goodbye,Steam,November 1969,Pop,4:08,"Fontana, F 1667 (, US, )","Paul Leka, Gary DeCarlo, Dale Frashuer",Paul Leka,,,November 1969
Need You Tonight,INXS,21 September 1987,"Funk rock, dance-rock, new wave",3:00,WEA,"Andrew Farriss, Michael Hutchence",Chris Thomas,,,21 September 1987
"Nel blu, dipinto di blu",Domenico Modugno,1 February 1958,"Pop, chanson",3:29,"Fonit, (Italy), Decca, (US), Oriole international, (UK)",,,"Domenico Modugno, Franco Migliacci",Domenico Modugno,1 February 1958
Never Gonna Give You Up,Rick Astley,27 July 1987,"Dance-pop, synth-pop, blue-eyed soul",3:35,"RCA, PWL, BMG",Stock Aitken Waterman,Stock Aitken Waterman,,,27 July 1987
New Kid in Town,Eagles,"December 7, 1976","Yacht rock, country rock",5:04,Asylum,"Don Henley, Glenn Frey, JD Souther",Bill Szymczyk,,,07 12 1976
Nice for What,Drake,"April 6, 2018",Bounce,3:30,"Young Money, Cash Money, Republic","Aubrey Graham, Shane Lindstrom, Alan Bergman, Marilyn Bergman, Dennis Coles, Robert Diggs, Gary Grice, Marvin Hamlisch, Lamont Hawkins, Lauryn Hill, Jason Hunter, Russell Jones, Clifford Smith, Corey Woods, Orville Hall, Phillip Price","40, Murda Beatz, Corey Litwin, Blaqnmild (, co., )",,,06 04 2018
Nice & Slow,Usher,"January 6, 1998","R&B, soul",3:48,"LaFace, Arista","Brian Casey, Manuel Seal Jr, Jermaine Dupri, Usher Raymond",Jermaine Dupri,,,06 01 1998
Night Fever,Bee Gees,January 1978,Disco,3:32,RSO,"Barry Gibb, Robin Gibb, Maurice Gibb","Bee Gees, Albhy Galuten, Karl Richardson",,,January 1978
Nothing Compares 2 U,Sinéad O'Connor,8 January 1990,Pop,5:10,Chrysalis,Prince,"Sinéad O'Connor, Nellee Hooper, • Chris Birkett",,,8 January 1990
Nothing from Nothing,Billy Preston,"August 5, 1974","Soul, pop",2:38,A&M,"Billy Preston, Bruce Fisher",Billy Preston,,,05 08 1974
Nothing's Gonna Stop Us Now,Starship,"January 19, 1987","Soft rock, synth-rock",4:29,"Grunt, RCA","Diane Warren, Albert Hammond",Narada Michael Walden,,,19 01 1987
Nothin' on You,"B.o.B, Bruno Mars","December 15, 2009","Pop rap, R&B, Southern hip hop",4:29,"Rebel Rock, Grand Hustle, Atlantic","Bobby Simmons, Jr, Bruno Mars, Philip Lawrence, Ari Levine",The Smeezingtons,,,15 12 2009
Not Afraid,Eminem,"April 27, 2010",Hip hop,4:10,"Aftermath, Shady, Interscope","Marshall Mathers, Drake Cooper, Luis Resto, Matthew Samuels, Jordan Evans, Matthew Burnett","Boi-1da, Jordan Evans (add.), Matthew Burnett (add.), Eminem (add.)",,,27 04 2010
Not Like Us,Kendrick Lamar,"May 4, 2024",West Coast hip-hop,4:33,Interscope,,"Mustard, Sounwave, Sean Momberger",Kendrick Duckworth,"Sean Momberger, Ray Charles",04 05 2024
No Diggity,"Blackstreet, Dr. Dre, Queen Pen","July 29, 1996","R&B, hip hop",5:03,Interscope,"Teddy Riley, Chauncey Hannibal, Lynise Walters, Andre Young, William Stewart, Bill Withers, Richard Vick","Teddy Riley, William ""Skylz"" Stewart",,,29 07 1996
No More Tears,"Barbra Streisand, Donna Summer",October 1979,"Disco, soul",4:39,"Columbia, Casablanca","Paul Jabara, Bruce Roberts","Gary Klein, Giorgio Moroder, Harold Faltermeyer, (Summer 12"" version)",,,October 1979
No One,Alicia Keys,"October 9, 2007",R&B,4:13,J,"Alicia Keys, Kerry Brothers Jr, George M, Harry","Alicia Keys, Kerry ""Krucial"" Brothers",,,09 10 2007
No Scrubs,TLC,"February 2, 1999","R&B, hip-pop",3:39,"LaFace, Arista","Kevin, She'kspere, Briggs, Kandi Burruss, Tameka, Tiny, Cottle, Lisa Lopes",She'kspere,,,02 02 1999
No Sugar Tonight/New Mother Nature,The Guess Who,March 1970,"Blues rock, psychedelic rock",4:52,RCA Victor,"Burton Cummings, Randy Bachman",Jack Richardson,,,March 1970
Ode to Billie Joe,Bobbie Gentry,July 1967,Country,4:15,Capitol,Bobbie Gentry,"Kelly Gordon, , Bobby Paris",,,July 1967
Oh Girl,the Chi-Lites,"March 2, 1972","R&B, soul",3:43,Brunswick,Eugene Record,Eugene Record,,,02 03 1972
Oh Sheila,Ready for the World,1985,"Synth-funk, electropop",4:00,MCA,"Melvin Riley Jr, Gordon Strozier, Gerald Valentine",Ready for the World,,,1985
"Oh, Pretty Woman","Roy Orbison, the Candy Men","August 15, 1964","Rock and roll, country",2:55,Monument,"Roy Orbison, Bill Dees",Fred Foster,,,15 08 1964
Old Town Road,Lil Nas X,"December 3, 2018","Country rap, country trap, Southern hip hop",1:53,Columbia,"Montero Hill, Trent Reznor, Atticus Ross, Kiowa Roukema","YoungKio, Trent Reznor, Atticus Ross",,,03 12 2018
OMG,"Usher, will.i.am","March 22, 2010","Dance-pop, electropop, R&B",4:45,LaFace,William Adams,will.i.am,,,22 03 2010
One Bad Apple,the Osmonds,"November 14, 1970",Bubblegum,2:45,MGM,George Jackson,,,,14 11 1970
One Dance,"Drake, Wizkid, Kyla","April 5, 2016","Dancehall, afrobeats, pop, UK funky",2:53,"Young Money, Cash Money, Republic","Aubrey Graham, Paul Jefferies, Ayodeji Balogun, Noah Shebib, Errol Reid, Luke Reid, Kyla Smith, Corey Johnson, Logan Sama","Nineteen85, 40, WizKid, Sarz, DJ Maphorisa",,,05 04 2016
One More Night,Maroon 5,"June 19, 2012","Pop rock, reggae rock, electropop",3:39,A&M Octone,"Adam Levine, Shellback, Max Martin, Savan Kotecha","Shellback, Max Martin",,,19 06 2012
One More Night,Phil Collins,24 January 1985,Soft rock,4:514,"Atlantic, Virgin",Phil Collins,"Phil Collins, Hugh Padgham",,,24 January 1985
One More Try,George Michael,11 April 1988,Blue-eyed soul,5:52,Columbia,George Michael,George Michael,,,11 April 1988
One More Try,Timmy T,"October 24, 1990","Pop, freestyle",3:29,"Quality,  Pump",Timothy Torres,Timothy Torres,,,24 10 1990
One of These Nights,Eagles,"May 19, 1975","Rock, country rock, R&B, disco",4:55,Asylum,"Don Henley, Glenn Frey",Bill Szymczyk,,,19 05 1975
One Sweet Day,"Mariah Carey, Boyz II Men","November 14, 1995","Pop, R&B",4:42,Columbia,,"Walter Afanasieff, Mariah Carey","Mariah Carey, Michael McCary, Nathan Morris, Wanya Morris, Shawn Stockman","Mariah Carey, Walter Afanasieff",14 11 1995
One Week,Barenaked Ladies,"September 15, 1998","Alternative rock, pop, rap rock, pop rock",2:48,Reprise,Ed Robertson,"Barenaked Ladies, David Leonard, Susan Rogers",,,15 09 1998
Only Girl,Rihanna,"September 10, 2010","Dance-pop, Eurodance",3:55,"Def Jam, SRP","Crystal Johnson, Mikkel S, Eriksen, Tor Erik Hermansen, Sandy Wilhelm","Stargate, Sandy Vee, Kuk Harrell",,,10 09 2010
On Bended Knee,Boyz II Men,"November 11, 1994",R&B,5:29,Motown,Jimmy Jam and Terry Lewis,Jimmy Jam and Terry Lewis,,,11 11 1994
On My Own,"Patti LaBelle, Michael McDonald","February 23, 1986",Pop,4:50,MCA,"Burt Bacharach, Carole Bayer Sager","Burt Bacharach, Carole Bayer Sager",,,23 02 1986
Open Your Heart,Madonna,"November 12, 1986",Dance-pop,4:13,"Sire, Warner Bros.","Madonna, Gardner Cole, Peter Rafelson","Madonna, Patrick Leonard",,,12 11 1986
Opposites Attract,Paula Abdul,"November 17, 1989","Minneapolis funk, new jack swing, R&B",4:25,Virgin,Oliver Leiber,Oliver Leiber,,,17 11 1989
Our Day Will Come,Ruby & the Romantics,December 1962,"R&B, bossa nova",2:32,Kapp,"Bob Hilliard, Mort Garson",Allen Stanton,,,December 1962
Out of Touch,Daryl Hall & John Oates,"October 4, 1984","Dance-rock, synth-pop, new wave",4:21,RCA Victor,"Daryl Hall, John Oates","Daryl Hall & John Oates, Bob Clearmountain",,,04 10 1984
Over and Over,Bobby Day,1958,Doo-wop,2:20,Class,Robert James Byrd,,,,1958
Owner of a Lonely Heart,Yes,24 October 1983,"Electronic rock, dance-rock, progressive pop, new wave",4:27,Atco,"Trevor Rabin, Jon Anderson, Chris Squire, Trevor Horn",Trevor Horn,,,24 October 1983
Paint It Black,the Rolling Stones,7 May 1966,"Raga rock, psychedelic rock",3:46,"Decca, (UK), London, (US)",Jagger–Richards,Andrew Loog Oldham,,,7 May 1966
